order_number,site,carrier,gpu,cpu,ordered,case_on,motherboard_on,cpu_on,ram_on,memory_on,gpu_on,packaged,delivered
10000,Roswell,WarpSpeed Delivery,Chimera 3020,Gojira 5,"01/01/2021, 00:43:23","01/01/2021, 00:48:35","01/01/2021, 00:52:51","01/01/2021, 01:04:16","01/01/2021, 01:06:31","01/01/2021, 01:13:00","01/01/2021, 01:25:25","01/01/2021, 01:40:34","01/06/2021, 00:25:44"
10001,Aurora,WarpSpeed Delivery,Hydra 2080,Mothra 4,"01/01/2021, 01:13:54","01/01/2021, 01:20:51","01/01/2021, 01:25:26","01/01/2021, 01:32:38","01/01/2021, 01:36:19","01/01/2021, 01:44:07","01/01/2021, 01:54:39","01/01/2021, 01:57:09","01/05/2021, 23:17:01"
10002,Area 51,WarpSpeed Delivery,Chimera 3020,Mothra 4,"01/01/2021, 01:32:23","01/01/2021, 01:37:25","01/01/2021, 01:42:51","01/01/2021, 01:50:15","01/01/2021, 01:55:31","01/01/2021, 02:02:47","01/01/2021, 02:10:31","01/01/2021, 02:13:55","01/07/2021, 03:14:06"
10003,Roswell,HyperDrive Carriers,Hydra 2080,Mothra 4,"01/01/2021, 01:32:41","01/01/2021, 01:36:37","01/01/2021, 01:40:05","01/01/2021, 01:44:29","01/01/2021, 01:47:45","01/01/2021, 01:56:35","01/01/2021, 02:05:46","01/01/2021, 02:11:08","01/08/2021, 15:36:45"
10004,Aurora,TimeTraveler Mail,Chimera 2080,Mothra 4,"01/01/2021, 02:20:24","01/01/2021, 02:24:01","01/01/2021, 02:28:35","01/01/2021, 02:38:32","01/01/2021, 02:41:32","01/01/2021, 02:48:21","01/01/2021, 02:57:13","01/01/2021, 03:00:08","01/06/2021, 20:53:29"
10005,Aurora,WarpSpeed Delivery,Chimera 3020,Gojira 5,"01/01/2021, 02:32:04","01/01/2021, 02:36:19","01/01/2021, 02:40:46","01/01/2021, 02:51:06","01/01/2021, 02:55:58","01/01/2021, 03:03:33","01/01/2021, 03:11:12","01/01/2021, 03:14:51","01/04/2021, 10:10:55"
10006,Area 51,TimeTraveler Mail,Hydra 2080,Mothra 4,"01/01/2021, 03:02:01","01/01/2021, 03:05:23","01/01/2021, 03:09:36","01/01/2021, 03:17:26","01/01/2021, 03:23:09","01/01/2021, 03:29:48","01/01/2021, 03:39:30","01/01/2021, 03:42:42","01/05/2021, 22:46:15"
10007,Area 51,WarpSpeed Delivery,Hydra 2080,Ghidora 12,"01/01/2021, 03:19:26","01/01/2021, 03:23:26","01/01/2021, 03:27:07","01/01/2021, 03:34:30","01/01/2021, 03:37:13","01/01/2021, 03:45:15","01/01/2021, 03:53:08","01/01/2021, 03:56:15","01/05/2021, 22:18:28"
10008,Area 51,HyperDrive Carriers,Hydra 2080,Ghidora 12,"01/01/2021, 03:22:13","01/01/2021, 03:27:03","01/01/2021, 03:31:17","01/01/2021, 03:38:17","01/01/2021, 03:40:29","01/01/2021, 03:48:45","01/01/2021, 03:59:27","01/01/2021, 04:03:25","01/09/2021, 03:16:25"
10009,Roswell,WarpSpeed Delivery,Chimera 3020,Gojira 5,"01/01/2021, 03:25:28","01/01/2021, 03:32:23","01/01/2021, 03:38:49","01/01/2021, 03:51:24","01/01/2021, 03:55:24","01/01/2021, 04:02:37","01/01/2021, 04:12:56","01/01/2021, 04:17:25","01/06/2021, 03:59:14"
10010,Area 51,HyperDrive Carriers,Chimera 2080,Ghidora 12,"01/01/2021, 03:43:42","01/01/2021, 03:48:21","01/01/2021, 03:52:28","01/03/2021, 21:31:11","01/03/2021, 21:36:15","01/03/2021, 21:43:43","01/03/2021, 21:54:43","01/03/2021, 21:58:04","01/11/2021, 14:54:10"
10011,Roswell,HyperDrive Carriers,Chimera 3020,Mothra 4,"01/01/2021, 03:44:00","01/01/2021, 03:48:23","01/01/2021, 03:52:26","01/01/2021, 04:00:42","01/01/2021, 04:06:14","01/01/2021, 04:13:47","01/01/2021, 04:26:41","01/01/2021, 04:41:21","01/08/2021, 03:39:39"
10012,Roswell,HyperDrive Carriers,Hydra 2080,Ghidora 12,"01/01/2021, 03:56:18","01/01/2021, 04:01:22","01/01/2021, 04:04:54","01/04/2021, 10:18:32","01/04/2021, 10:22:09","01/04/2021, 10:32:04","01/04/2021, 10:43:51","01/04/2021, 10:53:22","01/13/2021, 21:38:20"
10013,Area 51,TimeTraveler Mail,Hydra 2080,Mothra 4,"01/01/2021, 04:10:44","01/01/2021, 04:17:28","01/01/2021, 04:22:31","01/01/2021, 04:27:59","01/01/2021, 04:32:41","01/01/2021, 04:40:41","01/01/2021, 04:50:19","01/01/2021, 04:53:44","01/05/2021, 12:21:14"
10014,Aurora,TimeTraveler Mail,Hydra 2080,Gojira 5,"01/01/2021, 04:26:25","01/01/2021, 04:29:26","01/01/2021, 04:33:30","01/01/2021, 04:40:29","01/02/2021, 04:40:33","01/02/2021, 04:50:19","01/02/2021, 05:00:18","01/02/2021, 05:02:51","01/07/2021, 21:39:13"
10015,Roswell,HyperDrive Carriers,Hydra 2080,Ghidora 12,"01/01/2021, 04:58:33","01/01/2021, 05:03:10","01/01/2021, 05:07:35","01/01/2021, 05:16:54","01/01/2021, 05:21:49","01/01/2021, 05:30:17","01/01/2021, 05:40:24","01/01/2021, 05:50:04","01/08/2021, 10:32:04"
10016,Area 51,HyperDrive Carriers,Chimera 3020,Mothra 4,"01/01/2021, 04:59:53","01/01/2021, 05:03:50","01/01/2021, 05:07:26","01/01/2021, 05:13:07","01/01/2021, 05:16:46","01/01/2021, 05:25:19","01/01/2021, 05:36:55","01/01/2021, 05:41:05","01/08/2021, 10:26:16"
10017,Roswell,TimeTraveler Mail,Chimera 3020,Gojira 5,"01/01/2021, 05:15:37","01/01/2021, 05:20:04","01/01/2021, 05:23:48","01/01/2021, 05:34:05","01/01/2021, 05:38:27","01/01/2021, 05:46:27","01/01/2021, 05:56:08","01/01/2021, 06:02:30","01/06/2021, 12:12:54"
10018,Area 51,WarpSpeed Delivery,Chimera 3020,Mothra 4,"01/01/2021, 05:16:46","01/01/2021, 05:21:37","01/01/2021, 05:25:35","01/01/2021, 05:32:36","01/01/2021, 05:36:26","01/01/2021, 05:42:05","01/01/2021, 05:52:08","01/01/2021, 05:55:34","01/04/2021, 23:18:54"
