Date,Portfolio,Rep,Sector,High,Low
1/31/2019 0:00,P1,John,Industrials,264.9654,171.9802
1/31/2019 0:00,P2,Paul,Industrials,69.0739,47.9465
1/31/2019 0:00,P3,George,Health Care,64.6,41.4344
1/31/2019 0:00,P4,Ringo,Health Care,127.1186,58.849
1/31/2019 0:00,P5,John,Information Technology,164.226,112.5236
1/31/2019 0:00,P1,Paul,Information Technology,73.4461,38.1514
1/31/2019 0:00,P2,George,Industrials,220.8528,139.16
1/31/2019 0:00,P3,Ringo,Information Technology,200.361,112.16198
1/31/2019 0:00,P4,John,Consumer Discretionary,172.941,77.2338
1/31/2019 0:00,P5,Paul,Information Technology,15.8065,9.506
1/31/2019 0:00,P1,George,Utilities,11.809,9.8
1/31/2019 0:00,P2,Ringo,Health Care,194.4,117.1198
1/31/2019 0:00,P3,John,Financials,219.16495,145.8338
1/31/2019 0:00,P4,Paul,Financials,91.73,67.424
1/31/2019 0:00,P5,George,Health Care,73.5,48.2454
1/31/2019 0:00,P1,Ringo,Materials,176.9217,130.957498
1/31/2019 0:00,P2,John,Information Technology,70.2556,43.757
1/31/2019 0:00,P3,Paul,Industrials,100.4157,58.065
1/31/2019 0:00,P4,George,Materials,143.5401,88.543
1/31/2019 0:00,P5,Ringo,Real Estate,135.7137,104.7522
1/31/2019 0:00,P1,John,Health Care,147.8466,94.2564
1/31/2019 0:00,P2,Paul,Health Care,281.5736,90.7578
1/31/2019 0:00,P3,George,Industrials,91.6062,65.3856
1/31/2019 0:00,P4,Ringo,Health Care,254.232,156.8686
1/31/2019 0:00,P5,John,Information Technology,281.1133,204.82
1/31/2019 0:00,P1,Paul,Utilities,46.461,36.1032
1/31/2019 0:00,P2,George,Financials,103.2528,76.1754
1/31/2019 0:00,P3,Ringo,Information Technology,1174.04,807.814
1/31/2019 0:00,P4,John,Information Technology,1210.6278,787.126494
1/31/2019 0:00,P5,Paul,Consumer Staples,77.0121,58.8098
1/31/2019 0:00,P1,George,Consumer Discretionary,1468.04,796.25
1/31/2019 0:00,P2,Ringo,Utilities,63.5922,50.7738
1/31/2019 0:00,P3,John,Industrials,57.8984,38.4258
1/31/2019 0:00,P4,Paul,Utilities,76.5086,61.4362
1/31/2019 0:00,P5,George,Financials,104.4327,73.9998
1/31/2019 0:00,P1,Ringo,Financials,67.3,56.693
1/31/2019 0:00,P2,John,Real Estate,155.28,101.2928
1/31/2019 0:00,P3,Paul,Utilities,90.5226,70.4522
1/31/2019 0:00,P4,George,Financials,187.578,116.4632
1/31/2019 0:00,P5,Ringo,Health Care,106.27,70.462
1/31/2019 0:00,P1,John,Industrials,79.2951,50.2838
1/31/2019 0:00,P2,Paul,Health Care,205.2546,149.1168
1/31/2019 0:00,P3,George,Information Technology,95.4924,65.9148
1/31/2019 0:00,P4,Ringo,Energy,70,39.1608
1/31/2019 0:00,P5,John,Information Technology,96.4124,73.157
1/31/2019 0:00,P1,Paul,Energy,121.71,73.6078
1/31/2019 0:00,P2,George,Information Technology,163.251,92.6296
1/31/2019 0:00,P3,Ringo,Health Care,267.95,153.6738
1/31/2019 0:00,P4,John,Financials,149.7244,110.955698
1/31/2019 0:00,P5,Paul,Energy,59.058,37.3772
1/31/2019 0:00,P1,George,Real Estate,45.9179,38.073
1/31/2019 0:00,P2,Ringo,Information Technology,183.702,128.4976
